chunk_id,type,source_file,section_title,created_at,author,preview
17,note,meeting_notes_collection.md,Technical Requirements Discussed,,,#### Technical Requirements Discussed - **Frontend:** React 
18,note,meeting_notes_collection.md,Definition of Done,,,#### Definition of Done - [ ] Mobile UI passes accessibility
19,note,meeting_notes_collection.md,meeting_notes_collection.md,,,**Concerns Raised:** - Network reliability in restaurant env
20,note,meeting_notes_collection.md,meeting_notes_collection.md,2025-07-22,,"**Sprint Commitment:** Feature will be demo-ready by Jul 22,"
21,note,meeting_notes_collection.md,meeting_notes_collection.md,,,---
22,note,meeting_notes_collection.md,"Backend Architecture Review - Stripe Integration - Jul 18, 2025",2025-07-18,,## Backend Architecture Review - Stripe Integration - Jul 18
23,note,meeting_notes_collection.md,meeting_notes_collection.md,,"** Mike Rodriguez (Backend Lead), Sarah Chen (Tech Lead), Alex Johnson (DevOps), Emma Davis (Security Engineer)","**Date:** July 18, 2025   **Time:** 10:00 AM - 12:00 PM PST "
24,note,meeting_notes_collection.md,Architecture Overview,,,### Architecture Overview
25,note,meeting_notes_collection.md,Current Stripe Integration Architecture,,,#### Current Stripe Integration Architecture ``` Frontend (R
26,note,meeting_notes_collection.md,Key Components Reviewed,,,#### Key Components Reviewed
27,note,meeting_notes_collection.md,meeting_notes_collection.md,,,**1. Payment Processing Flow** - Stripe Elements for secure 
28,note,meeting_notes_collection.md,meeting_notes_collection.md,,,**2. Subscription Management** - Live pricing table: `prctbl
29,note,meeting_notes_collection.md,meeting_notes_collection.md,,,**3. Security Considerations** - PCI DSS compliance through 
30,note,meeting_notes_collection.md,Technical Decisions Made,,,#### Technical Decisions Made
31,note,meeting_notes_collection.md,meeting_notes_collection.md,,,**Database Schema:** - Orders table with Stripe payment_inte
32,note,meeting_notes_collection.md,meeting_notes_collection.md,,,**Error Handling:** - Retry mechanism for failed Oracle API 
33,note,meeting_notes_collection.md,meeting_notes_collection.md,,,**Performance Optimizations:** - Connection pooling for Orac
34,note,meeting_notes_collection.md,Security Review Results,,,#### Security Review Results - **PASSED:** Webhook signature
35,note,meeting_notes_collection.md,meeting_notes_collection.md,,,**Next Steps:** - Implement encryption for sensitive data by
36,note,meeting_notes_collection.md,meeting_notes_collection.md,,,---
37,note,meeting_notes_collection.md,"Client Meeting - Sales Workflow Process - Jul 20, 2025",2025-07-20,,"## Client Meeting - Sales Workflow Process - Jul 20, 2025"
38,note,meeting_notes_collection.md,meeting_notes_collection.md,,"** David Kim (Product Manager), Jennifer Walsh (Sales Director), Restaurant Owner - Tony Marcelli, Operations Manager - Maria Santos","**Date:** July 20, 2025   **Time:** 1:00 PM - 2:30 PM PST   "
39,note,meeting_notes_collection.md,Meeting Objectives,,,### Meeting Objectives Review current sales workflow and ide
40,note,meeting_notes_collection.md,Current Restaurant Workflow Analysis,,,### Current Restaurant Workflow Analysis
41,note,meeting_notes_collection.md,Traditional Order Process (Before TYNGO),,,#### Traditional Order Process (Before TYNGO) 1. Customer se
42,note,meeting_notes_collection.md,Proposed TYNGO Workflow,,,#### Proposed TYNGO Workflow 1. Customer scans QR code → Pla
43,note,meeting_notes_collection.md,Sales Process Requirements,,,### Sales Process Requirements
44,note,meeting_notes_collection.md,Customer Onboarding Flow,,,#### Customer Onboarding Flow 1. **Demo Scheduling:** Office
45,note,meeting_notes_collection.md,Staff Training Requirements,,,#### Staff Training Requirements - 4-hour initial training s
46,note,meeting_notes_collection.md,Key Decisions Made,,,### Key Decisions Made
47,note,meeting_notes_collection.md,meeting_notes_collection.md,,,**Pricing Strategy:** - Tiered subscription model via Stripe
48,note,meeting_notes_collection.md,meeting_notes_collection.md,,,**Implementation Timeline:** - Week 1: System setup and Orac
49,note,meeting_notes_collection.md,meeting_notes_collection.md,,,**Success Metrics:** - Order accuracy: Target 95%+ - Table t
50,note,meeting_notes_collection.md,Next Steps,,,#### Next Steps - Schedule technical integration meeting for
51,note,meeting_notes_collection.md,meeting_notes_collection.md,,,**Action Items:** - David: Prepare demo environment by Jul 2
52,story,historical_stories_collection.md,TYNGO Historical Stories Collection,,,# TYNGO Historical Stories Collection
53,story,historical_stories_collection.md,User Story - Digital Table Touch Interface [COMPLETED],,,## User Story - Digital Table Touch Interface [COMPLETED]
54,story,historical_stories_collection.md,historical_stories_collection.md,,,**Story ID:** TNG4-10845   **Epic:** Table-Side Customer Exp
55,story,historical_stories_collection.md,Story Description,,,"### Story Description **As a restaurant customer, I want to "
56,story,historical_stories_collection.md,Acceptance Criteria ✅,,,### Acceptance Criteria ✅ - [x] Touch interface displays ful
57,story,historical_stories_collection.md,Acceptance Criteria ✅,,,- [x] Integration with Oracle Simphony POS system - [x] Orde
58,story,historical_stories_collection.md,Technical Implementation,,,### Technical Implementation **Frontend Stack:** - React + T
59,story,historical_stories_collection.md,historical_stories_collection.md,,,**Backend Integration:** - Oracle Simphony API for menu data
60,story,historical_stories_collection.md,Testing Results,,,### Testing Results **Performance Metrics:** - Menu load tim
61,story,historical_stories_collection.md,historical_stories_collection.md,,,**User Testing:** - 45 customers tested the interface - 89% 
62,story,historical_stories_collection.md,Deployment Details,,,### Deployment Details **Rollout Strategy:** - Pilot deploym
63,story,historical_stories_collection.md,historical_stories_collection.md,,,**Post-Deployment Metrics:** - Order accuracy: 94% (improved
64,story,historical_stories_collection.md,Lessons Learned,,,### Lessons Learned **What Worked Well:** - Touch interface 
65,story,historical_stories_collection.md,historical_stories_collection.md,,,**Challenges Overcome:** - Initial network connectivity issu
66,story,historical_stories_collection.md,Business Impact,,,"### Business Impact **Revenue Metrics:** - $45,000 additiona"
67,story,historical_stories_collection.md,historical_stories_collection.md,,,**Operational Benefits:** - Reduced order errors by 70% - El
68,story,historical_stories_collection.md,historical_stories_collection.md,,,---
69,story,historical_stories_collection.md,Epic - Oracle Database Integration [CLOSED],,,## Epic - Oracle Database Integration [CLOSED]
70,story,historical_stories_collection.md,historical_stories_collection.md,2025-05-30,,**Epic ID:** TNG4-10200   **Epic Name:** Oracle Simphony POS
71,story,historical_stories_collection.md,Epic Overview,,,### Epic Overview **Goal:** Integrate TYNGO Staff Order syst
72,story,historical_stories_collection.md,Epic Scope,,,### Epic Scope **Included:** - Real-time order synchronizati
73,story,historical_stories_collection.md,historical_stories_collection.md,,,**Excluded:** - Oracle hardware upgrades - Legacy system mig
74,story,historical_stories_collection.md,User Stories Completed,,,### User Stories Completed 1. **TNG4-10201:** As a kitchen s
75,story,historical_stories_collection.md,User Stories Completed,,,"5. **TNG4-10205:** As a staff member, I want to see order mo"
76,story,historical_stories_collection.md,Technical Architecture Implemented,,,### Technical Architecture Implemented
77,story,historical_stories_collection.md,historical_stories_collection.md,,,**Integration Layer:** ```javascript // Oracle Simphony API 
78,story,historical_stories_collection.md,historical_stories_collection.md,,,// Real-time synchronization const syncOrderToOracle = async
79,story,historical_stories_collection.md,historical_stories_collection.md,,,**Data Synchronization:** - Menu items: Every 15 minutes - I
80,story,historical_stories_collection.md,Performance Achievements,,,### Performance Achievements **Response Time Metrics:** - Or
81,story,historical_stories_collection.md,historical_stories_collection.md,,,**Reliability Metrics:** - API uptime: 99.7% (Target: > 99.5
82,story,historical_stories_collection.md,Integration Challenges Resolved,,,### Integration Challenges Resolved
83,story,historical_stories_collection.md,historical_stories_collection.md,,,**Challenge 1: Rate Limiting** - **Issue:** Oracle API limit
84,story,historical_stories_collection.md,historical_stories_collection.md,,,**Challenge 2: Data Consistency** - **Issue:** Timing delays
85,story,historical_stories_collection.md,historical_stories_collection.md,,,**Challenge 3: Network Reliability** - **Issue:** Intermitte
86,story,historical_stories_collection.md,Business Impact,,,### Business Impact
87,story,historical_stories_collection.md,historical_stories_collection.md,,,**Operational Improvements:** - 95% reduction in manual orde
88,story,historical_stories_collection.md,historical_stories_collection.md,,,"**Financial Impact:** - $78,000 saved annually in labor cost"
89,story,historical_stories_collection.md,Deployment Timeline,,,### Deployment Timeline - **Week 1-2:** Development and unit
90,story,historical_stories_collection.md,Post-Deployment Support,,,### Post-Deployment Support - 24/7 monitoring for first 30 d
91,story,historical_stories_collection.md,historical_stories_collection.md,,,---
92,story,historical_stories_collection.md,Feature Request - Analytics Dashboard [ARCHIVED],,,## Feature Request - Analytics Dashboard [ARCHIVED]
93,story,historical_stories_collection.md,historical_stories_collection.md,,,**Request ID:** TNG4-11200   **Feature Name:** Advanced Anal
94,story,historical_stories_collection.md,Original Feature Request,,,### Original Feature Request **Submitted By:** Jennifer Wals
95,story,historical_stories_collection.md,Requested Features,,,### Requested Features **Dashboard Components:** - Real-time
96,story,historical_stories_collection.md,historical_stories_collection.md,,,**Visualizations:** - Interactive charts and graphs - Heat m
97,story,historical_stories_collection.md,Technical Requirements (Proposed),,,### Technical Requirements (Proposed) **Frontend:** - React 
98,story,historical_stories_collection.md,historical_stories_collection.md,,,**Backend:** - Data aggregation pipelines - ETL processes fo
99,story,historical_stories_collection.md,historical_stories_collection.md,,,**Database:** ```sql -- Analytics data warehouse schema CREA
100,story,historical_stories_collection.md,historical_stories_collection.md,,,"CREATE TABLE menu_item_analytics (     id UUID PRIMARY KEY, "
101,story,historical_stories_collection.md,Business Case Analysis,,,### Business Case Analysis **Potential Benefits:** - 15% imp
102,story,historical_stories_collection.md,historical_stories_collection.md,,,**Investment Required:** - Development time: 4 weeks (2 deve
103,story,historical_stories_collection.md,Decision to Archive,,,### Decision to Archive **Reasoning:** 1. **Limited immediat
104,story,historical_stories_collection.md,historical_stories_collection.md,,,"**Stakeholder Input:** - **Product Manager:** ""Analytics are"
105,story,historical_stories_collection.md,Alternative Solutions Implemented,,,### Alternative Solutions Implemented **Basic Reporting Feat
106,story,historical_stories_collection.md,historical_stories_collection.md,,,**Third-Party Integration:** - Google Analytics for web traf
107,story,historical_stories_collection.md,Future Considerations,,,### Future Considerations **Potential Revival Criteria:** - 
108,story,historical_stories_collection.md,historical_stories_collection.md,,,**Estimated Effort for Future Implementation:** - 6 weeks de
109,story,historical_stories_collection.md,Related Features Delivered,,,### Related Features Delivered - **Basic Metrics:** Order co
110,story,historical_stories_collection.md,historical_stories_collection.md,,,---
111,story,historical_stories_collection.md,Bug Report - API Connection Timeout [RESOLVED],,,## Bug Report - API Connection Timeout [RESOLVED]
112,story,historical_stories_collection.md,historical_stories_collection.md,,,**Bug ID:** TNG4-11887   **Title:** Oracle Simphony API Conn
113,story,historical_stories_collection.md,Bug Description,,,### Bug Description **Issue:** During peak restaurant hours 
114,story,historical_stories_collection.md,historical_stories_collection.md,,,**Reporter:** James Thompson (QA Lead)   **Reported Date:** 
115,story,historical_stories_collection.md,Symptoms Observed,,,### Symptoms Observed **User Experience:** - Customers recei
116,story,historical_stories_collection.md,historical_stories_collection.md,,,**System Behavior:** - API response times exceed 30 seconds 
117,story,historical_stories_collection.md,Technical Investigation,,,### Technical Investigation
118,story,historical_stories_collection.md,historical_stories_collection.md,,,**Root Cause Analysis:** ```javascript // Original problemat
119,story,historical_stories_collection.md,historical_stories_collection.md,,,try {       return await connection.execute(orderData);     
120,story,historical_stories_collection.md,historical_stories_collection.md,,,**Performance Metrics During Peak Hours:** - Average API res
121,story,historical_stories_collection.md,historical_stories_collection.md,,,**Network Analysis:** - Oracle server response time: 8-12 se
122,story,historical_stories_collection.md,Resolution Implementation,,,### Resolution Implementation
123,story,historical_stories_collection.md,historical_stories_collection.md,,,**Solution 1: Connection Pool Optimization** ```javascript /
124,story,historical_stories_collection.md,historical_stories_collection.md,,,const connectionPool = await oracle.createPool(oraclePool);
125,story,historical_stories_collection.md,historical_stories_collection.md,,,// Reuse connections instead of creating new ones const exec
126,story,historical_stories_collection.md,historical_stories_collection.md,,,**Solution 2: Timeout Configuration** ```javascript // Optim
127,story,historical_stories_collection.md,historical_stories_collection.md,,,**Solution 3: Asynchronous Processing** ```javascript // Ord
128,story,historical_stories_collection.md,historical_stories_collection.md,,,// Process orders asynchronously const processOrder = async 
129,story,historical_stories_collection.md,Testing and Validation,,,### Testing and Validation
130,story,historical_stories_collection.md,historical_stories_collection.md,,,**Load Testing Results:** - Simulated 100 concurrent orders 
131,story,historical_stories_collection.md,historical_stories_collection.md,,,**Production Monitoring:** - 48-hour observation period post
132,story,historical_stories_collection.md,Performance Improvements,,,### Performance Improvements
133,story,historical_stories_collection.md,historical_stories_collection.md,,,**Before Fix:** - API timeout rate: 15% - Average response t
134,story,historical_stories_collection.md,historical_stories_collection.md,,,**After Fix:** - API timeout rate: 0.8% - Average response t
135,story,historical_stories_collection.md,Deployment Process,,,### Deployment Process
136,story,historical_stories_collection.md,historical_stories_collection.md,,,**Rollout Strategy:** 1. **Staging Environment:** Deployed a
137,story,historical_stories_collection.md,historical_stories_collection.md,,,**Monitoring Setup:** - Real-time API performance dashboard 
138,story,historical_stories_collection.md,Prevention Measures,,,### Prevention Measures
139,story,historical_stories_collection.md,historical_stories_collection.md,,,**Code Quality Improvements:** - Added comprehensive unit te
140,story,historical_stories_collection.md,historical_stories_collection.md,,,**Monitoring Enhancements:** - Real-time performance metrics
141,story,historical_stories_collection.md,historical_stories_collection.md,,,**Documentation Updates:** - Updated deployment procedures -
142,story,historical_stories_collection.md,Business Impact,,,### Business Impact
143,story,historical_stories_collection.md,historical_stories_collection.md,,,**Customer Experience:** - 87% reduction in order processing
144,story,historical_stories_collection.md,historical_stories_collection.md,,,**Operational Efficiency:** - 95% reduction in manual order 
145,story,historical_stories_collection.md,historical_stories_collection.md,,,"**Financial Impact:** - $12,000 monthly savings in labor cos"
146,story,historical_stories_collection.md,Lessons Learned,,,### Lessons Learned
147,story,historical_stories_collection.md,historical_stories_collection.md,,,**Technical Insights:** - Connection pooling critical for hi
148,story,historical_stories_collection.md,historical_stories_collection.md,,,**Process Improvements:** - Load testing should simulate rea
149,story,historical_stories_collection.md,historical_stories_collection.md,,,**Team Collaboration:** - Cross-functional team involvement 
150,doc,functional_docs_collection.md,TYNGO Functional Documentation Collection,,,# TYNGO Functional Documentation Collection
151,doc,functional_docs_collection.md,Functional Specification - Authentication Module v2.1,,,## Functional Specification - Authentication Module v2.1
152,doc,functional_docs_collection.md,functional_docs_collection.md,,** Sarah Chen (Tech Lead),"**Document Version:** 2.1   **Last Updated:** July 8, 2025  "
153,doc,functional_docs_collection.md,Overview,,,### Overview This document specifies the authentication modu
154,doc,functional_docs_collection.md,Authentication Requirements,,,### Authentication Requirements
155,doc,functional_docs_collection.md,1. Customer Authentication,,,#### 1. Customer Authentication **Purpose:** Secure customer
156,doc,functional_docs_collection.md,functional_docs_collection.md,,,**Authentication Methods:** - **Primary:** QR Code + Table N
157,doc,functional_docs_collection.md,functional_docs_collection.md,,,**User Flow:** 1. Customer scans QR code at table 2. System 
158,doc,functional_docs_collection.md,2. Staff Authentication,,,#### 2. Staff Authentication **Purpose:** Secure access to s
159,doc,functional_docs_collection.md,functional_docs_collection.md,,,**Authentication Methods:** - **Primary:** Username/Password
160,doc,functional_docs_collection.md,functional_docs_collection.md,,,"**Role-Based Access Control:** - **Server:** View orders, up"
161,doc,functional_docs_collection.md,3. Oracle Simphony Integration Authentication,,,#### 3. Oracle Simphony Integration Authentication **Purpose
162,doc,functional_docs_collection.md,functional_docs_collection.md,,,**Authentication Flow:** - API key authentication with Oracl
163,doc,functional_docs_collection.md,Security Requirements,,,### Security Requirements
164,doc,functional_docs_collection.md,Data Protection,,,#### Data Protection - **Encryption:** AES-256 for data at r
165,doc,functional_docs_collection.md,Session Management,,,#### Session Management - **Customer Sessions:** 2-hour time
166,doc,functional_docs_collection.md,Security Monitoring,,,#### Security Monitoring - Failed authentication attempt tra
167,doc,functional_docs_collection.md,Technical Implementation,,,### Technical Implementation
168,doc,functional_docs_collection.md,Database Schema,,,#### Database Schema ```sql -- Users table for staff authent
169,doc,functional_docs_collection.md,functional_docs_collection.md,,,-- Customer sessions for table-side ordering CREATE TABLE cu
170,doc,functional_docs_collection.md,functional_docs_collection.md,,,-- Oracle integration tokens CREATE TABLE oracle_tokens (   
171,doc,functional_docs_collection.md,API Endpoints,,,#### API Endpoints - `POST /auth/customer/verify` - Customer
172,doc,functional_docs_collection.md,Integration Requirements,,,### Integration Requirements
173,doc,functional_docs_collection.md,Stripe Integration,,,#### Stripe Integration - Customer payment authentication vi
174,doc,functional_docs_collection.md,Office 365 Integration,,,#### Office 365 Integration - SSO authentication for demo sc
175,doc,functional_docs_collection.md,Testing Requirements,,,### Testing Requirements
176,doc,functional_docs_collection.md,Unit Tests,,,#### Unit Tests - Authentication flow validation - Token gen
177,doc,functional_docs_collection.md,Integration Tests,,,#### Integration Tests - Oracle Simphony API authentication 
178,doc,functional_docs_collection.md,Security Tests,,,#### Security Tests - Penetration testing for authentication
179,doc,functional_docs_collection.md,functional_docs_collection.md,,,---
180,doc,functional_docs_collection.md,Push Notifications System Requirements,,,## Push Notifications System Requirements
181,doc,functional_docs_collection.md,functional_docs_collection.md,,** Lisa Wang (Frontend Lead),"**Document Version:** 1.0   **Last Updated:** July 8, 2025  "
182,doc,functional_docs_collection.md,System Overview,,,### System Overview Real-time push notification system for T
183,doc,functional_docs_collection.md,Notification Types,,,### Notification Types
184,doc,functional_docs_collection.md,1. Customer Notifications,,,#### 1. Customer Notifications **Order Status Updates:** - O
185,doc,functional_docs_collection.md,functional_docs_collection.md,,,**Marketing Notifications:** - Daily specials and promotions
186,doc,functional_docs_collection.md,2. Staff Notifications,,,#### 2. Staff Notifications **Order Management:** - New orde
187,doc,functional_docs_collection.md,functional_docs_collection.md,,,**System Notifications:** - Oracle Simphony connection statu
188,doc,functional_docs_collection.md,Technical Requirements,,,### Technical Requirements
189,doc,functional_docs_collection.md,Push Notification Channels,,,#### Push Notification Channels **Web Push (Primary):** - Se
190,doc,functional_docs_collection.md,functional_docs_collection.md,,,**SMS (Secondary):** - Twilio integration for critical alert
191,doc,functional_docs_collection.md,functional_docs_collection.md,,,**Email (Fallback):** - SMTP configuration for transactional
192,doc,functional_docs_collection.md,Real-time Communication,,,#### Real-time Communication **WebSocket Implementation:** -
193,doc,functional_docs_collection.md,Integration Points,,,### Integration Points
194,doc,functional_docs_collection.md,Oracle Simphony Integration,,,#### Oracle Simphony Integration - Order status webhooks - I
195,doc,functional_docs_collection.md,Stripe Integration,,,#### Stripe Integration - Payment confirmation notifications
196,doc,functional_docs_collection.md,Notification Delivery Requirements,,,### Notification Delivery Requirements
197,doc,functional_docs_collection.md,Performance Specifications,,,#### Performance Specifications - **Delivery Time:** < 2 sec
198,doc,functional_docs_collection.md,Personalization,,,#### Personalization - User preference management - Notifica
199,doc,functional_docs_collection.md,Data Requirements,,,### Data Requirements
200,doc,functional_docs_collection.md,Notification Storage,,,#### Notification Storage ```sql -- Notification templates C
201,doc,functional_docs_collection.md,functional_docs_collection.md,,,-- Notification delivery log CREATE TABLE notification_log (
202,doc,functional_docs_collection.md,functional_docs_collection.md,,,-- User notification preferences CREATE TABLE user_notificat
203,doc,functional_docs_collection.md,Analytics and Tracking,,,#### Analytics and Tracking - Notification delivery rates - 
204,doc,functional_docs_collection.md,functional_docs_collection.md,,,---
205,doc,functional_docs_collection.md,eCommerce Use Cases - Restaurant Inventory Management,,,## eCommerce Use Cases - Restaurant Inventory Management
206,doc,functional_docs_collection.md,functional_docs_collection.md,,** David Kim (Product Manager),"**Document Version:** 1.0   **Last Updated:** July 8, 2025  "
207,doc,functional_docs_collection.md,Use Case Overview,,,### Use Case Overview This document outlines the eCommerce u
208,doc,functional_docs_collection.md,Primary Use Cases,,,### Primary Use Cases
209,doc,functional_docs_collection.md,Use Case 1: Real-Time Inventory Tracking,,,#### Use Case 1: Real-Time Inventory Tracking **Actor:** Kit
210,doc,functional_docs_collection.md,functional_docs_collection.md,,,**Preconditions:** - Oracle Simphony POS system is connected
211,doc,functional_docs_collection.md,functional_docs_collection.md,,,**Main Flow:** 1. Customer places order through table-side o
212,doc,functional_docs_collection.md,functional_docs_collection.md,,,**Alternative Flows:** - **Insufficient Stock:** System sugg
213,doc,functional_docs_collection.md,Use Case 2: Automated Stock Replenishment,,,#### Use Case 2: Automated Stock Replenishment **Actor:** Re
214,doc,functional_docs_collection.md,functional_docs_collection.md,,,**Preconditions:** - Reorder points are configured for each 
215,doc,functional_docs_collection.md,functional_docs_collection.md,,,**Main Flow:** 1. System monitors ingredient usage patterns 
216,doc,functional_docs_collection.md,Use Case 3: Menu Item Availability Management,,,#### Use Case 3: Menu Item Availability Management **Actor:*
217,doc,functional_docs_collection.md,functional_docs_collection.md,,,**Preconditions:** - Menu items are linked to required ingre
218,doc,functional_docs_collection.md,functional_docs_collection.md,,,**Main Flow:** 1. System continuously monitors ingredient le
219,doc,functional_docs_collection.md,Secondary Use Cases,,,### Secondary Use Cases
220,doc,functional_docs_collection.md,Use Case 4: Waste Tracking and Analytics,,,#### Use Case 4: Waste Tracking and Analytics **Actor:** Res
221,doc,functional_docs_collection.md,functional_docs_collection.md,,,**Main Flow:** 1. Kitchen staff logs expired or wasted items
222,doc,functional_docs_collection.md,Use Case 5: Seasonal Menu Management,,,#### Use Case 5: Seasonal Menu Management **Actor:** Restaur
223,doc,functional_docs_collection.md,functional_docs_collection.md,,,**Main Flow:** 1. Manager configures seasonal menu items and
224,doc,functional_docs_collection.md,Technical Integration Requirements,,,### Technical Integration Requirements
225,doc,functional_docs_collection.md,Oracle Simphony Integration,,,"#### Oracle Simphony Integration ```json {   ""inventory_sync"
226,doc,functional_docs_collection.md,Stripe Integration for Supplier Payments,,,#### Stripe Integration for Supplier Payments - Automated su
227,doc,functional_docs_collection.md,Data Requirements,,,### Data Requirements
228,doc,functional_docs_collection.md,Inventory Data Model,,,#### Inventory Data Model ```sql -- Inventory items CREATE T
229,doc,functional_docs_collection.md,functional_docs_collection.md,,,-- Menu item ingredients CREATE TABLE menu_ingredients (    
230,doc,functional_docs_collection.md,functional_docs_collection.md,,,-- Inventory transactions CREATE TABLE inventory_transaction
231,doc,functional_docs_collection.md,Performance Requirements,,,### Performance Requirements - **Inventory Updates:** Real-t
232,doc,functional_docs_collection.md,functional_docs_collection.md,,,---
233,doc,functional_docs_collection.md,Payment Process Flow - Stripe Integration,,,## Payment Process Flow - Stripe Integration
234,doc,functional_docs_collection.md,functional_docs_collection.md,,** Mike Rodriguez (Backend Lead),"**Document Version:** 1.0   **Last Updated:** July 8, 2025  "
235,doc,functional_docs_collection.md,Payment Process Overview,,,### Payment Process Overview This document defines the compl
236,doc,functional_docs_collection.md,Payment Flow Architecture,,,### Payment Flow Architecture
237,doc,functional_docs_collection.md,System Components,,,#### System Components ``` Customer Mobile → React Frontend 
238,doc,functional_docs_collection.md,Primary Payment Flows,,,### Primary Payment Flows
239,doc,functional_docs_collection.md,Flow 1: Table-Side Order Payment,,,#### Flow 1: Table-Side Order Payment **Actor:** Restaurant 
240,doc,functional_docs_collection.md,functional_docs_collection.md,,,**Prerequisites:** - Customer has placed order through mobil
241,doc,functional_docs_collection.md,functional_docs_collection.md,,,**Main Payment Flow:** 1. **Order Confirmation:**    - Custo
242,doc,functional_docs_collection.md,functional_docs_collection.md,,,2. **Payment Method Selection:**    - Credit/Debit card via 
243,doc,functional_docs_collection.md,functional_docs_collection.md,,,3. **Payment Processing:**    ```javascript    // Payment In
244,doc,functional_docs_collection.md,functional_docs_collection.md,,,4. **3D Secure Authentication:**    - Automatic 3D Secure au
245,doc,functional_docs_collection.md,functional_docs_collection.md,,,5. **Payment Confirmation:**    - Stripe webhook confirms pa
246,doc,functional_docs_collection.md,Flow 2: Subscription Payment Processing,,,#### Flow 2: Subscription Payment Processing **Actor:** Rest
247,doc,functional_docs_collection.md,functional_docs_collection.md,,,**Subscription Components:** - **Live Pricing Table:** `prct
248,doc,functional_docs_collection.md,functional_docs_collection.md,,,**Subscription Flow:** 1. **Plan Selection:**    - Restauran
249,doc,functional_docs_collection.md,functional_docs_collection.md,,,2. **Customer Creation:**    ```javascript    const customer
250,doc,functional_docs_collection.md,functional_docs_collection.md,,,3. **Subscription Creation:**    - Automatic recurring billi
251,doc,functional_docs_collection.md,Error Handling and Recovery,,,### Error Handling and Recovery
252,doc,functional_docs_collection.md,Payment Failure Scenarios,,,#### Payment Failure Scenarios **1. Insufficient Funds:** - 
253,doc,functional_docs_collection.md,functional_docs_collection.md,,,**2. Network Connectivity Issues:** - Automatic retry with e
254,doc,functional_docs_collection.md,functional_docs_collection.md,,,**3. Stripe API Failures:** - Circuit breaker pattern implem
255,doc,functional_docs_collection.md,Recovery Mechanisms,,,#### Recovery Mechanisms ```javascript // Payment retry logi
256,doc,functional_docs_collection.md,Security Implementation,,,### Security Implementation
257,doc,functional_docs_collection.md,PCI DSS Compliance,,,#### PCI DSS Compliance - **Scope Reduction:** Stripe handle
258,doc,functional_docs_collection.md,Webhook Security,,,#### Webhook Security ```javascript // Webhook signature ver
259,doc,functional_docs_collection.md,Data Protection,,,#### Data Protection - **Encryption:** Customer data encrypt
260,doc,functional_docs_collection.md,Integration Points,,,### Integration Points
261,doc,functional_docs_collection.md,Oracle Simphony Integration,,,#### Oracle Simphony Integration ```javascript // Order crea
262,doc,functional_docs_collection.md,Notification System Integration,,,#### Notification System Integration - Payment confirmation 
263,doc,functional_docs_collection.md,Performance Requirements,,,### Performance Requirements
264,doc,functional_docs_collection.md,Response Time Targets,,,#### Response Time Targets - **Payment Intent Creation:** < 
265,doc,functional_docs_collection.md,Scalability Specifications,,,#### Scalability Specifications - **Concurrent Payments:** 1
266,doc,functional_docs_collection.md,Monitoring and Analytics,,,### Monitoring and Analytics
267,doc,functional_docs_collection.md,Payment Metrics,,,#### Payment Metrics - Success/failure rates by payment meth
268,doc,functional_docs_collection.md,Alert Thresholds,,,#### Alert Thresholds - Payment failure rate > 5% - Response
